question,answer,table,Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities
Who is the starring actor of Aastik?,"Aastik is a 1956 Hindi film starring Shahu Modak, Paro Devi and Meenakshi.","[Wikipedia page title:List of Bollywood films of 1956; Wikipedia section title:A-C; ] [TAB] | Title | Director | Cast | Genre | Notes | [SEP] | 26 January | Ramesh Saigal | Ajit, Nalini Jaywant, Nishi, Johnny Walker, B. M. Vyas, Leela Mishra, Sapru, Randhir, Cuckoo, Gajanan Jagirdar, Chaman Puri, Jagdish Sethi | Fantasy Costume Drama | Music: C. Ramchandra Lyrics: Rajendra Krishan | [SEP] | Aabroo | Chaturbhuj Doshi | Kamini Kaushal, Kishore Kumar, Smriti Biswas, Amir Bano, Madan Puri, Achala Sachdev, Roopmala, Tun Tun, Joginder Singh Lal | Romance | Music: Bulo C. Rani Lyrics: D. N. Madhok, Gopal Singh Nepali, Raja Mehdi Ali Khan | [SEP] | Aan Baan | D. D. Kashyap | Ajit, Nalini Jaywant, Usha Kiran, Pran, Mahipal, Manmohan Krishna, Ulhas, Niranjan Sharma | Drama Action | Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi | [SEP] | Aankh Ka Nasha | Ved Madan | Anita Guha, M. Rajan, Shammi, Helen, W. M. Khan, Amar, Chaman Puri, Raj Mehra | Costume Action | Music: Dhani Ram Lyrics: Harsh | [SEP] | Aastik | S. P. Kalla | Shahu Modak, Paro Devi, Meenakshi, B. M. Vyas, Praveen Paul | Devotional | Music: Narayan Dutt Lyrics: S. P. Kalla | [SEP] | Alam Ara | Nanubhai Vakil | Daljeet, Chitra, Tiwari, Niranjan Sharma, Minu Mumtaz, W. M. Khan, Heera Sawant, Maruti, Rajan Haksar | Costume Action | Music: A. R. Qureshi Lyrics: Shewan Rizvi | [SEP] | Amarsingh Rathaur | Jaswant Zaveri | P. Jairaj, Nirupa Roy, Veena, Murad, Sapru, Minu Mumtaz, Ratnamala, Yashodhara Katju, Sunder, Helen | Historical | Music: Sanmukh Babu Lyrics: Bharat Vyas | [SEP] | Anjaan | M. Sadiq | Vyjayantimala, Pradeep Kumar, Premnath, Jeevan, Mubarak, Johnny Walker, Shammi, Amar, Helen, Raj Mehra, Ram Avtar | Romance Drama | Music: Hemant Kumar Lyrics: Rajendra Krishan | [SEP] | Anuraag | Madhusadan | Mukesh, Usha Kiran, Pratima Devi, Tun Tun, Shivraj, Mridula | Social | Music: Mukesh Lyrics: Indeevar, Kaif Irfani | [SEP] | Arab Ka Saudagar | S. D. Narang | Pradeep Kumar, Smriti Biswas, Shashikala, Sunder, Kathana, S. D. Narang | Costume Action | Music: Hemant Kumar Lyrics: S.H. Bihari, Ravi | [SEP] | Awara Shahzadi | Pyarelal | Meena Shorey, Daljeet, Sheila Ramani, Johnny Walker, Malika, Maqbul, Heera Sawant, Habib | Action Costume | Music: Nashad, Jimmy Lyrics: Sartaj Rahmani, Khawar Zaman | [SEP] | Awaz | Zia Sarhadi | Nalini Jaywant, Usha Kiran, Rajendra Kumar, Murad, Mukri, Zul Vellani, Leela Chitnis, Nazir Hussain, Jayant, Sapru | Social | Music: Salil Chowdhury Lyrics: Shailendra, Zia Sarhadi, Vishwamitra Adil, Prem Dhawan | [SEP] | Ayodhyapati | S. Fattelal | Usha Kiran, Abhi Bhattacharya, Anant Kumar, Achala Sachdev, Sapru, Kanchanmala, Ratnamala, Manorama | Mythology | Music: Ravi Lyrics: Saraswati Kumar Deepak | [SEP] | Badal Aur Bijli | Maurice | Manhar Desai, Ameeta, Yashodhara Katju, Kumar, Manorama, Anwar Hussain, Rajan Haksar, Heera Sawant, Habib | Action | Music: Bipin Babul Lyrics: Anjum Jaipuri | [SEP] | Badshah Salamat | Prem Sinha | Chandrashekhar, Shyama, Smriti Biswas, Bhagwan, Amarnath, Minu Mumtaz, B. M. Vyas, Tiwari, Heera Sawant, Anwar Hussain | Costume Action | Music: Bulo C. Rani Lyrics: Pyarelal Santoshi, Raja Mehdi Ali Khan, Shafiq Kanpuri, Vinay Kumar, K. Razdan | [SEP] | Baghdad Ka Jadu a.k.a. Magic of Baghdad | John Cawas | John Cawas, Nadia, Krishna Kumari, Vijaya Chaudhary, Nazir Kashmiri, Ratan Kumar | Action Fantasy | Music: Shafi M. Nagri Lyrics: Preetam Dehlvi | [SEP] | Bajrang Bali | Manibhai Vyas | Mahipal, Nirupa Roy, Chandrashekhar, Tiwari, Minu Mumtaz, Moni Chatterjee, Kammo, Kamal Kapoor | Religious | Music: S. N. Tripathi Lyrics: B. D. Mishra | [SEP] | Bal Ramayan | Vijay Bhatt | Shahu Modak, Shobhana Samarth, Prem Adib | Children Religious | - | [SEP] | Bandhan | Hemchander Chander | Meena Kumari, Pradeep Kumar, Motilal, Shashikala, David, Achala Sachdev, Leela Mishra, Minu Mumtaz, Nana Palsikar, Kammo | Drama | Music: Hemant Kumar Lyrics: Rajendra Krishan | [SEP] | Basant Bahar | Raja Nawathe | Bharat Bhushan, Nimmi, Kumkum, Om Prakash, Manmohan Krishna, Chand Burque, Leela Chitnis | Romance Musical | Music: Shankar Jaikishan Lyrics: Shailendra and Hasrat Jaipuri | [SEP] | Basant Panchami | Jayant Desai | Nirupa Roy, Anant Kumar, Kumkum, Jeevan, Radhakishan, S. N. Tripathi, Niranjan Sharma, Naazi | Devotional | Music: Chitragupta Lyrics: Kavi Pradeep | [SEP] | Bhagam Bhag | Bhagwan | Bhagwan, Kishore Kumar, Smriti Biswas, Kumkum, Shashikala, Badri Prasad, Tiwari, Kanchanmala, Parshuram | Comedy | Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri | [SEP] | Bhai-Bhai | M. V. Raman | Ashok Kumar, Shyama, Kishore Kumar, Nimmi, David, Om Prakash, Daisy Irani, Shivraj | Family Drama | Music: Madan Mohan Lyrics: Rajendra Krishan | [SEP] | C.I.D. | Raj Khosla | Dev Anand, Shakila, Johnny Walker, Introducing: Waheeda Rehman, K. N. Singh, Minu Mumtaz, Mehmood, Jagdish Raj, Tun Tun, Sheela Vaz | Crime Suspense Romance | Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri | [SEP] | Caravan | Rafiq Rizvi | Mahipal, Shakila, Yashodra Katju, Hiralal | Action | Music: Mohinder Singh Sarna Lyrics: Tanvir Naqvi | [SEP] | Char Dost | Nitin Bose | Vishwanath, Kamar, Bhola, Kammo | Children | Produced by Children's Film Society. Music: B. Balsara Lyrics: Uday Khanna | [SEP] | Char Minar | Ravindra Dave | Nasir Khan, Bhagwan, Jabeen, Anjali Devi, Rashid Khan, Helen, Naazi | Costume Drama | Music: Sardul Kwatra Lyrics: Vishwamitra Adil | [SEP] | Chhoo Mantar | M. Sadiq | Johnny Walker, Karan Dewan, Shyama, Anita Guha, Gajanan Jagirdar, Amar, Raj Mehra, Nazir Kashmiri | Comedy | Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar | [SEP] | Chori Chori | Anant Thakur | Raj Kapoor, Nargis, Pran, Johnny Walker, Gope, Bhagwan, Rajasulochana | Romantic Comedy | Music: Shankar Jaikishan won the Filmfare Award for Best Music Director. Lyrics: Shailendra and Hasrat Jaipuri |",Media and Entertainment,0.8542,Culture,0.4243,Warfare and Conflict,0.0312,"Meenakshi, Shahu Modak, Aastik, Paro Devi, 1956"
What are Darvis Patton's personal bests?,"Darvis Patton has bests of 20.03 for the 200 m, 8.12 m for the long jump, and 6.50 seconds for the 60-meter dash.","[Wikipedia page title:Darvis Patton; Wikipedia section title:Personal bests; ] [TAB] | Event | Time (sec) | Venue | Date | [SEP] | 60-meter dash | 6.50 | New York City, United States | February 17, 2013 | [SEP] | 100-meter dash | 9.89 | Eugene, Oregon, United States | June 28, 2008 | [SEP] | 200-meter dash | 20.03 | Saint-Denis, France | August 28, 2003 | [SEP] | Long jump | 8.12 m | Arlington, Texas, United States | March 31, 2001 |",Sports,0.9248,Culture,0.3185,Science and Technology,0.2478,"200, 20.03, 8.12, 6.50 seconds, 60-meter, Patton"
What role did Kim Yoon-seok play in The High Rollers and what year did the film come out?,"In 2006, Kim played the role of Agwi in the film The High Rollers.",[Wikipedia page title:Kim Yoon-seok; Wikipedia section title:Film; ] [TAB] | Year | Title | Role | Notes | [SEP] | 1994 | A Little Lover | Student at karaoke | - | [SEP] | 2001 | Kiss Me Much | Bailiff 1 | - | [SEP] | 2002 | Oollala Sisters | Sachae Quik | - | [SEP] | 2004 | The Big Swindle | Detective Lee | - | [SEP] | 2004 | To Catch a Virgin Ghost | Hak-gyu | - | [SEP] | 2005 | All for Love | Dong-man | - | [SEP] | 2005 | My Girl and I | Biology teacher | - | [SEP] | 2006 | Running Wild | Joo Hyun-tae | - | [SEP] | 2006 | Like a Virgin | Oh Dong-ku's father | - | [SEP] | 2006 | Tazza: The High Rollers | Agwi | - | [SEP] | 2007 | The Happy Life | Seong-wook | - | [SEP] | 2008 | The Chaser | Eom Joong-ho | - | [SEP] | 2009 | Running Turtle | Jo Pil-seong | - | [SEP] | 2009 | Jeon Woo-chi: The Taoist Wizard | Hwadam | - | [SEP] | 2010 | The Yellow Sea | Myun Jung-hak | - | [SEP] | 2011 | Punch | Lee Dong-ju | - | [SEP] | 2012 | The Thieves | Macao Park | - | [SEP] | 2013 | South Bound | Choi Hae-gab | - | [SEP] | 2013 | Hwayi: A Monster Boy | Seok-tae | - | [SEP] | 2014 | Haemoo | Captain Cheol-joo | - | [SEP] | 2014 | Tazza: The Hidden Card | Agwi | - | [SEP] | 2015 | C'est Si Bon | Oh Geun-tae (40s) | - | [SEP] | 2015 | The Classified File | Gong Gil-yong | - | [SEP] | 2015 | The Priests | Father Kim Bum-shin | - | [SEP] | 2016 | Will You Be There? | Han Soo-hyun (present day) | - | [SEP] | 2017 | The Fortress | Kim Sang-heon | - | [SEP] | 2017 | 1987: When the Day Comes | Park Cheo-won | - | [SEP] | 2018 | Dark Figure of Crime | Hyung-min | - | [SEP] | 2019 | Another Child | Dae-won | Also as director and screenwriter |,Media and Entertainment,0.9238,Culture,0.9196,Art,0.6056,"2006, Agwi, The High Rollers, what year, Kim, Kim Yoon-"
"What were Petrovic's club, league, and number of league appearances in 1998-99?",Alen Petrović appeared in seven games for VfL Bochum in the 1998–99 Bundesliga season in Germany.,[Wikipedia page title:Alen Petrović; Wikipedia section title:Career stats; ] [TAB] | Club performance | Club performance | Club performance | League | League | Cup | Cup | Total | Total | [SEP] | Season | Club | League | Apps | Goals | Apps | Goals | Apps | Goals | [SEP] | Yugoslavia | Yugoslavia | Yugoslavia | League | League | Cup | Cup | Total | Total | [SEP] | 1989–90 | Osijek | First League | 4 | 0 | - | - | - | - | [SEP] | 1990–91 | Osijek | First League | 25 | 4 | - | - | - | - | [SEP] | Croatia | Croatia | Croatia | League | League | Croatian Cup | Croatian Cup | Total | Total | [SEP] | 1992 | Osijek | Prva HNL | 22 | 5 | - | - | - | - | [SEP] | 1992–93 | Osijek | Prva HNL | 30 | 10 | - | - | - | - | [SEP] | 1993–94 | Osijek | Prva HNL | 32 | 13 | - | - | - | - | [SEP] | Portugal | Portugal | Portugal | League | League | Taça de Portugal | Taça de Portugal | Total | Total | [SEP] | 1994–95 | Belenenses | Primeira Liga | 27 | 1 | - | - | - | - | [SEP] | Croatia | Croatia | Croatia | League | League | Croatian Cup | Croatian Cup | Total | Total | [SEP] | 1995–96 | Croatia Zagreb | Prva HNL | 24 | 3 | - | - | - | - | [SEP] | 1996–97 | Croatia Zagreb | Prva HNL | 14 | 1 | - | - | - | - | [SEP] | 1997–98 | Croatia Zagreb | Prva HNL | 2 | 0 | - | - | - | - | [SEP] | Germany | Germany | Germany | League | League | DFB-Pokal | DFB-Pokal | Total | Total | [SEP] | 1998–99 | VfL Bochum | Bundesliga | 7 | 0 | 2 | 2 | 9 | 2 | [SEP] | Croatia | Croatia | Croatia | League | League | Croatian Cup | Croatian Cup | Total | Total | [SEP] | 1999–00 | Slaven Belupo | Prva HNL | 12 | 1 | - | - | - | - | [SEP] | 2000–01 | Osijek | Prva HNL | 6 | 1 | - | - | - | - | [SEP] | 2001–02 | Marsonia | Prva HNL | 10 | 0 | - | - | - | - | [SEP] | Total | Yugoslavia | Yugoslavia | 29 | 4 | - | - | - | - | [SEP] | Total | Croatia | Croatia | 152 | 34 | - | - | - | - | [SEP] | Total | Portugal | Portugal | 27 | 1 | - | - | - | - | [SEP] | Total | Germany | Germany | 7 | 0 | 2 | 2 | 9 | 2 | [SEP] | Career total | Career total | Career total | 215 | 39 | - | - | - | - |,Sports,0.8817,Culture,0.5751,Art,0.3104,"1998-99, Petrovic, the 1998–99 Bundesliga season, VfL Bochum, seven, Germany"
What is the vote number distribution in the 2004 Civic Democratic Party leadership election?,Topolánek received votes of 354 of the 391 with 37 against votes in the 2004 Civic Democratic Party leadership election.,[Wikipedia page title:2004 Civic Democratic Party leadership election; Wikipedia section title:Results; ] [TAB] | Candidate | Votes | % | [SEP] | Mirek Topolánek | 354 | 90.54 | [SEP] | Against | 37 | 9.46 | [SEP] | Total | 391 | 100 |,Culture,0.9099,Political,0.8753,Society,0.5272,"2004, 391, 354, Civic Democratic Party"
In 2017 what award was Monstercat nominated for and in what category?,"In 2017, Monstercat was named Best Independent Dance Label by Billboard.",[Wikipedia page title:Monstercat; Wikipedia section title:Accolades and awards; ] [TAB] | Year | Organization | Recipient(s) | Category | Result | [SEP] | 2017 | DJ Mag | Monstercat | Best breakthrough label | Won | [SEP] | 2017 | EDM Sauce | Monstercat | Best record label | Won | [SEP] | 2017 | Dancing Astronaut | Monstercat | Label Of The Year | Won | [SEP] | 2017 | Billboard | Monstercat | Best Independent Dance Label | Contained | [SEP] | 2017 | EDM Sauce | Call of the Wild | Best Radio Show | 2 | [SEP] | 2018 | Billboard | Monstercat | Best Independent Dance Label | Contained |,Culture,0.7475,Warfare and Conflict,0.3152,Media and Entertainment,0.1299,"2017, Monstercat, Billboard, Best Independent Dance Label"
How did Mohamed Ameur perform at the 2008 Olympic Games?,Ameur finished 48th with a time of 1:32:21 in the 20 km walk at the 2008 Olympic Games.,"[Wikipedia page title:Mohamed Ameur; Wikipedia section title:Competition record; ] [TAB] | Year | Competition | Venue | Position | Event | Notes | [SEP] | Representing Algeria | Representing Algeria | Representing Algeria | Representing Algeria | Representing Algeria | Representing Algeria | [SEP] | 2001 | World Youth Championships | Debrecen, Hungary | 26th | 10,000 m walk | 48:40.35 | [SEP] | 2004 | World Race Walking Cup | Naumburg, Germany | – | 20 km walk | DQ | [SEP] | 2006 | African Championships | Bambous, Mauritius | 6th | 20 km walk | 1:29:34 | [SEP] | 2007 | All-Africa Games | Algiers, Algeria | 3rd | 20 km walk | 1:25:12 | [SEP] | 2007 | Pan Arab Games | Cairo, Egypt | 3rd | 20,000 m walk | 1:43:35.8 | [SEP] | 2008 | African Championships | Addis Ababa, Ethiopia | 1st | 20 km walk | 1:22:55 (CR) | [SEP] | 2008 | Olympic Games | Beijing, China | 48th | 20 km walk | 1:32:21 | [SEP] | 2009 | Universiade | Belgrade, Serbia | 15th | 20 km walk | 1:26:21 | [SEP] | 2010 | African Championships | Nairobi, Kenya | 5th | 20 km walk | 1:24:53 | [SEP] | 2012 | African Championships | Addis Ababa, Ethiopia | 3rd | 20 km walk | ? | [SEP] | 2014 | African Championships | Marrakech, Morocco | 3rd | 20 km walk | 1:27:48 | [SEP] | 2015 | African Games | Brazzaville, Republic of the Congo | – | 20 km walk | DNF | [SEP] | 2016 | African Championships | Durban, South Africa | 7th | 20 km walk | 1:26:17 | [SEP] | 2018 | African Championships | Asaba, Nigeria | 6th | 20 km walk | 1:28.38 |",Sports,0.9668,Culture,0.5909,Society,0.2515,"the 2008, 1:32:21, Olympic Games, Mohamed Ameur, 20 km, 48th, Ameur"
"C. J. & Company released what albums in 1977 and 1978, and under what label?","C. J. & Company released Devil's Gun in 1977 and Deadeye Dick in 1978, both for Westbound Records.","[Wikipedia page title:C; Wikipedia section title:Studio albums; ] [TAB] | Year | Title | Peak chart positions | Peak chart positions | Peak chart positions | Record label | [SEP] | Year | Title | US | US R&B | CAN | Record label | [SEP] | 1977 | Devil's Gun | 60 | 12 | 67 | Westbound | [SEP] | 1978 | Deadeye Dick | — | — | — | Westbound | [SEP] | ""—"" denotes a recording that did not chart or was not released in that territory. | ""—"" denotes a recording that did not chart or was not released in that territory. | ""—"" denotes a recording that did not chart or was not released in that territory. | ""—"" denotes a recording that did not chart or was not released in that territory. | ""—"" denotes a recording that did not chart or was not released in that territory. | ""—"" denotes a recording that did not chart or was not released in that territory. |",Media and Entertainment,0.5008,Political,0.3015,Art,0.0715,"C. J. & Company, Deadeye Dick, 1978, 1977, Westbound Records"
When did Croydon Central become a constituency and who represented them in 2017?,"Croydon Central has been a constituency since 1974 and is represented in the UK Parliament, in 2017, by Labour MP Sarah Jones.",[Wikipedia page title:Croydon Central (UK Parliament constituency); Wikipedia section title:Members of Parliament; ] [TAB] | Election | Election | Member | Party | Notes | [SEP] | - | Feb 1974 | John Moore | Conservative | - | [SEP] | - | 1992 | Sir Paul Beresford | Conservative | - | [SEP] | - | 1997 | Geraint Davies | Labour | - | [SEP] | - | 2005 | Andrew Pelling | Conservative | - | [SEP] | - | 2007 | Andrew Pelling | Independent | - | [SEP] | - | 2010 | Gavin Barwell | Conservative | - | [SEP] | - | 2017 | Sarah Jones | Labour | - |,Political,0.9275,Culture,0.6502,Business and Economic,0.471,"2017, Sarah Jones, Croydon Central, 1974"
How and where was Bangladesh defeated in the 2018 World Cup Qualifier?,"In 2015, Australia had a 5–0 win against Bangladesh at the 2018 World Cup Qualifier on 3 September, in front of a crowd of 19,495.","[Wikipedia page title:Perth Oval; Wikipedia section title:Men's International Soccer; ] [TAB] | Game | Date | Team | Result | Team | Attendance | Part of | [SEP] | 1 | 3 September 2015 | Australia | 5–0 | Bangladesh | 19,495 | 2018 World Cup Qualification – Second Round | [SEP] | 2 | 1 September 2016 | Australia | 2–0 | Iraq | 18,923 | 2018 World Cup Qualification – Third Round |",Sports,0.8645,Culture,0.4844,Society,0.2776,"Australia, Bangladesh, 3 September, 19,495, the 2018, World Cup Qualifier, 2015, 2018"
Which team beat Žalgiris for the first time in the history of LKL finals?,"Lietuvos rytas finally ended Žalgiris' run of winning the first 6 LKL Finals, when they won the finals in 2000.",[Wikipedia page title:LKL Finals; Wikipedia section title:LKL Finals series results; ] [TAB] | Season | Champion (Team) | Result | Runner-up (Team) | [SEP] | 1994 | Žalgiris | 3–1 | Atletas | [SEP] | 1995 | Žalgiris | 3–0 | Atletas | [SEP] | 1996 | Žalgiris | 3–2 | Atletas | [SEP] | 1997 | Žalgiris | 3–0 | Olimpas | [SEP] | 1998 | Žalgiris | 3–1 | Atletas | [SEP] | 1999 | Žalgiris | 3–0 | Lietuvos rytas | [SEP] | 2000 | Lietuvos rytas | 3–1 | Žalgiris | [SEP] | 2001 | Žalgiris | 3–2 | Lietuvos rytas | [SEP] | 2002 | Lietuvos rytas | 4–3 | Žalgiris | [SEP] | 2003 | Žalgiris | 4–2 | Lietuvos rytas | [SEP] | 2004 | Žalgiris | 4–0 | Lietuvos rytas | [SEP] | 2005 | Žalgiris | 4–0 | Lietuvos rytas | [SEP] | 2006 | Lietuvos rytas | 4–0 | Žalgiris | [SEP] | 2007 | Žalgiris | 4–2 | Lietuvos rytas | [SEP] | 2008 | Žalgiris | 4–1 | Lietuvos rytas | [SEP] | 2009 | Lietuvos rytas | 4–1 | Žalgiris | [SEP] | 2010 | Lietuvos rytas | 4–3 | Žalgiris | [SEP] | 2011 | Žalgiris | 4–1 | Lietuvos rytas | [SEP] | 2012 | Žalgiris | 3–0 | Lietuvos rytas | [SEP] | 2013 | Žalgiris | 4–0 | Lietuvos rytas | [SEP] | 2014 | Žalgiris | 4–2 | Neptūnas | [SEP] | 2015 | Žalgiris | 4–0 | Lietuvos rytas | [SEP] | 2016 | Žalgiris | 4–1 | Neptūnas | [SEP] | 2017 | Žalgiris | 4–1 | Lietkabelis | [SEP] | 2018 | Žalgiris | 4–1 | Lietuvos rytas |,Sports,0.9025,Culture,0.791,Warfare and Conflict,0.4453,"2000, LKL, Lietuvos, Žalgiris, first"
How fast is the express service of Vietnam's North-South railway?,"Express service links Hanoi and Ho Chi Minh City, making stops at stations; local service is also provided along portions of the line, such as from Hanoi to Vinh, Vinh to Đồng Hới and Vinh to Quy Nhon.","[Wikipedia page title:North–South railway (Vietnam); Wikipedia section title:Passenger service; ] [TAB] | Train | Type | From | To | Length | Notes | [SEP] | SE1/SE2 | Express | Hanoi | Ho Chi Minh City | 34 hrs, 40 mins | Stops at Nam Định, Thanh Hóa, Vinh, Đồng Hới, Dong Ha, Huế, Lang Co, Da Nang, Tam Ky, Quảng Ngãi, Dieu Tri, Tuy Hòa, Nha Trang, Thap Cham, Muong Man | [SEP] | SE3/SE4 | Express | Hanoi | Ho Chi Minh City | 29 hrs, 30 mins | Stops at Vinh, Đồng Hới, Huế, Da Nang, Dieu Tri, Nha Trang | [SEP] | SE5/SE6 | Express | Hanoi | Ho Chi Minh City | 32 hrs | Stops at Phủ Lý, Nam Định, Ninh Bình, Thanh Hóa, Vinh, Đồng Hới, Huế, Da Nang, Quảng Ngãi, Dieu Tri, Nha Trang, Thap Cham, Muong Man, Bien Hoa | [SEP] | TN1/TN2 | Local | Hanoi | Ho Chi Minh City | 40 hrs, 50 mins | - | [SEP] | TN3/TN4 | Local | Hanoi | Ho Chi Minh City | 40 hrs, 45 mins | - | [SEP] | TN5/TN6 | Local | Hanoi | Ho Chi Minh City | 40 hrs, 10 mins | - | [SEP] | TN7/TN8 | Local | Hanoi | Ho Chi Minh City | 40 hrs, 25 mins | - | [SEP] | NA1/NA2 | Local | Hanoi | Vinh | - | - | [SEP] | NA3/NA4 | Local | Hanoi | Vinh | - | - | [SEP] | TH1/TH2 | Local | Giap Bat | Thanh Hóa | - | - | [SEP] | VD31/VD32 | Local | Vinh | Đồng Hới | - | OUT OF SERVICES | [SEP] | DH41/DH42 | Local | Đồng Hới | Huế | - | OUT OF SERVICES | [SEP] | VQ1/VQ2 | Local | Vinh | Quy Nhon | - | - |",Culture,0.4711,Society,0.1887,Art,0.1244,"Đồng Hới, Hanoi, Quy Nhon, Vietnam, Ho Chi Minh City, North-South, Vinh"
What year did the Radiohead receive Best Art Direction for There There at the MTV Video Music Awards?,"At the MTV Video Music Awards, the Radiohead received the award for Best Art Direction for There There in 2003.","[Wikipedia page title:List of awards and nominations received by Radiohead; Wikipedia section title:MTV Video Music Awards; ] [TAB] | Year | Nominee / work | Award | Result | [SEP] | 1996 | ""Just"" | Breakthrough Video | Nominated | [SEP] | 1997 | ""Paranoid Android"" | Breakthrough Video | Nominated | [SEP] | 1997 | ""Paranoid Android"" | International Viewer's Choice Award for MTV Europe | Nominated | [SEP] | 1998 | ""Karma Police"" | Best Group Video | Nominated | [SEP] | 1998 | ""Karma Police"" | Best Alternative Video | Nominated | [SEP] | 1998 | ""Karma Police"" | Best Direction | Nominated | [SEP] | 1998 | ""Karma Police"" | Best Cinematography | Nominated | [SEP] | 2003 | ""There There"" | Best Visual Effects | Nominated | [SEP] | 2003 | ""There There"" | Best Art Direction | Won | [SEP] | 2003 | ""There There"" | Best Editing | Nominated | [SEP] | 2003 | ""There There"" | Best Cinematography | Nominated | [SEP] | 2009 | ""Karma Police"" | Best Video (That Should Have Won a Moonman) | Nominated |",Art,0.969,Media and Entertainment,0.8968,Culture,0.7837,"Radiohead, the MTV Video Music Awards, 2003"
What award did Craig Furgeson win in 2015 and 2016?,Craig Ferguson won Daytime Emmy Awards for Outstanding Game Show Host for Celebrity Name Game in 2015 and 2016.,[Wikipedia page title:Craig Ferguson; Wikipedia section title:Awards and nominations; ] [TAB] | Year | Award | Category | Work | Result | [SEP] | 2000 | British Independent Film Award | Best Screenplay | Saving Grace | Nominated | [SEP] | 2003 | US Comedy Arts Festival | Audience Award | I'll Be There | Won | [SEP] | 2006 | Primetime Emmy Award | Outstanding Individual Performance in a Variety or Music Program | The Late Late Show with Craig Ferguson | Nominated | [SEP] | 2009 | Peabody Award | Peabody Award | The Late Late Show with Craig Ferguson | Won | [SEP] | 2011 | Grammy Award | Best Spoken Word Album | American on Purpose | Nominated | [SEP] | 2014 | Grammy Award | Best Comedy Album | I'm Here to Help | Nominated | [SEP] | 2015 | People's Choice Award | Favorite Late Night Talk Show Host | The Late Late Show with Craig Ferguson | Nominated | [SEP] | 2015 | Daytime Emmy Award | Outstanding Game Show Host | Celebrity Name Game | Won | [SEP] | 2016 | Grammy Award | Best Comedy Album | Just Being Honest | Nominated | [SEP] | 2016 | Daytime Emmy Award | Outstanding Game Show Host | Celebrity Name Game | Won | [SEP] | 2017 | Daytime Emmy Award | Outstanding Game Show Host | Celebrity Name Game | Nominated |,Media and Entertainment,0.9801,Culture,0.7642,Society,0.3773,"Craig Ferguson, 2015, 2016, Craig Furgeson, Daytime Emmy Awards"
Who has had the most consecutive wins in the Cross Country Cycling Classic?,"Aston Gill had the most consecutive wins, with 3 consecutive wins from 1945 to 1947.",[Wikipedia page title:Cross Country Cycling Classic; Wikipedia section title:1929-1950: Opening up the West; ] [TAB] | Year (Date) | Winner | Second Place | [SEP] | 1928 (April 5–9) | Elston Kerr | Norris Wade | [SEP] | 1929 (March 28-April 1) | Elston Kerr | David Graham | [SEP] | 1930 | Norris Wade | Elston Kerr | [SEP] | 1931 | Donald Lightburn | Anselm Waight | [SEP] | 1932 | No race (1931 hurricane) | - | [SEP] | 1933 | Robert Ferguson | Donald Lightburn | [SEP] | 1934 | Robert Ferguson | Herbert Gentle | [SEP] | 1935 | Donald Lightburn | Dinsdale Lord | [SEP] | 1936 | Donald Lightburn | Hendicott Croft | [SEP] | 1937 | Jose Sosa | Jim Melin | [SEP] | 1938 | Jose Sosa | Luther Tucker | [SEP] | 1939 | Ben Sanchez | Jose Sosa | [SEP] | 1940 | Hendicott Croft | Ben Sanchez | [SEP] | 1941 | Goldburn Ferguson | Altreith Smith | [SEP] | 1942 | Goldburn Ferguson | Altreith Smith | [SEP] | 1943 | James Robateau | Charles Payne | [SEP] | 1944 | Robert Ferguson | Goldburn Ferguson | [SEP] | 1945 | Aston Gill | Robert Ferguson | [SEP] | 1946 | Aston Gill | Melford Ramsey | [SEP] | 1947 | Aston Gill | Colly Coffin | [SEP] | 1948 | Altreith Smith | Melford Ramsey | [SEP] | 1949 | Alvin Joseph | Aston Gill | [SEP] | 1950 | Aston Gill | Altreith Smith |,Sports,0.9921,Society,0.2458,Art,0.2415,"Aston Gill, 1945 to 1947, the Cross Country Cycling Classic"
