question,answer
which club did dusan jajic play for in 2015?,hammarby if
how many receiving yards did brown get in 2018?,1297.0
what was the total number of appearances made by lee for villa?,142.0
"among the five provinces and two territories with negative interprovincial migration in 2015/2016, what percentage of the net loss did alberta account for?",0.408965
which period marks alberta's first negative net interprovincial migration since 2009/2010?,2015/2016
what was the difference in alberta's net interprovincial migration between the 2014/2015 and 2015/2016 annual periods?,36702
"in 2015/2016, which province posted the second largest negative net interprovincial migration in canada?",que
"among the five provinces and one territory with positive interprovincial migration, which two accounted for most of these gains in 2015/2016?","<b.c>, <ont>"
what were british columbia's largest net interprovincial migrants since 1994/1995?,26573.0
which annual period was the first since 2002/2003 in which ontario recorded positive net interprovincial migration?,2015/2016
how many goals did paul burns score for queen of the south totally?,34.0
when did meyer become the manager of hertha bsc.,20 december 2003
which club did ridgers play for in 2016-17?,partick thistle
how many rushing yards did mostert get in 2018?,261.0
what was the population(%)of ethnic kazakhs in the census 20095?,63.1
what had the largest internal migration rate in canada for 2015/2016?,mirabel
what was the intraprovincial migration rate per thousand of the mirabel cd (quebec)?,21.3
which place had the second highest intraprovincial migration rate in canada?,mirabel
which place had the second largest internal migration rate over 2015/2016?,central okanagan
which place had the third largest internal migration rate over 2015/2016?,okanagan-similkameen
which place had the fourth largest internal migration rate?,dufferin
what was the ontario cd of dufferin's internal migration rate per thousand?,19.3
which cd had the largest intraprovincial migration rate in the country?,dufferin
which cd had the fifth largest internal migration rate in 2015/2016?,nanaimo
which cd had the lowest internal migration rate in the country in 2015/2016?,division no. 16
which cd had the lowest intraprovincial migration rate in canada?,division no. 16
which cd had the second smallest interprovincial migration rate in canada?,division no. 16
which cd had the second smallest internal migration rate?,northern rockies
which cd had the third smallest internal migration rate?,stikine
which cd had the fourth lowest internal migration rate in the country?,division no. 18
which cd had the fifth smallest internal migration rate in the country?,division no. 15
what was the win-loss record of colorado rockies?,"<534.0>, <625.0>"
how many league goals did telechea score for colon in 2014?,1.0
how many rushing yards did johnson get in 2005?,1750.0
what is the final result for benjamin's men's 100 m breaststroke?,1:03.29
"when did wc. j. mosley start 16 games and record 117 combined tackles (77 solo), seven pass deflections, four sacks and a forced fumble?",2015.0
"which nation set records for points scored (229), tries scored (29) and points difference (+149)?",england
"in 2015, what is the peak chart position for lunchmoney lewis released debut single ""bills"" on the aria charts?",1.0
how many acres of farms reporting fenugreek increase between 2001 and 2006?,105
how many acres of farms reporting fenugreek increase from 2006 to 2011?,130
how many acres of farms reporting fenugreek increase from 2011 to 2016?,2395
how many acres of crop area for farms reporting kale were increased?,17
"which year has a larger increase in the crop area for farms reporting kale, 2011 or 2006?",2011
how many acres of crop area growth did the farm reporting kale have between 2011 and 2016?,356
how many acres of crop area for sweet potates were increased between 2001 and 2006?,597
how many acres of crop area for sweet potates were increased between 2011 and 2006?,659
how many acres of crop area for sweet potates were increased from 2011 to 2016?,358
how many acres of the area under cultivation for farms reporting sea buckthorn were increased from 2006 to 2011?,127
how many acres of farms reporting sea buckthorn were increased from 2011 to 2016?,187
how many goals did burns score totally?,26.0
how many rushing yards did doug martin get in 2014?,494.0
how many goals did jim mcalister score for dundee totally?,12.0
which club did lodge play for in 1980-81.,everton
how many matches did jesus rueda play for valladolid totally?,163.0
what was ausf. f1 vehicle's weight?,22.3 t
what was oakland athletics's record in the regular season?,289-276
"when did ""it's all about you (not about me)""release?",1999.0
which club did ronaldinho play for in 2008-09?,milan
how many goals did asier del horno score for athletic bilbao.,17
how many receptions did t. y. hilton get in 2018?,76.0
which club did faouzi ghoulam play for in 2013-14?,napoli
what was the result that edmilsa governo got in the final in the 400 m t12.,53.89
how many passing yards did kellen clemens get in 2007?,1529.0
how many league goals did trevor sinclair score for trevor sinclair totally.,15.0
which club did poku play for in 2014?,atlanta silverbacks
what was the number of appearances made by herbert watson in the first division during the 1935-36 season in brentford.,13.0
how many rushing yards did shaun hill get in 2010?,123.0
"when did the single ""daniel"" release?",1991.0
"list two types of crimes with the highest percentage of female victims except for ""commodification of sexual activity"".","<sexual assaults - all levels>, <other sexual violations>"
list three types of crimes with the highest percentage of female victims following other sexual violations.,"<forcible confinement, kidnapping or abduction>, <criminal harassment>, <threatening or harassing phone calls>"
"which sex comprises the whole victims of offences under the ""commodification of sexual activity"" category?",female victim
which club did gibson play for in 1977?,south melbourne hellas
what is the percentage of violent incidents involving female victims committed by spouses (current or former) and other intimate partners?,41.9
what is the percentage of violent incidents committed by other family members and acquaintances?,42.7
list the matches that arsenal participated in.,"<premier league>, <fa cup>, <league cup>, <champions league>"
what was the number of appearances made by dimitris kourbelis for tripoli totally?,131.0
how many combined tackles did jones get in 2017?,138.0
how many times higher is the rate of aboriginal females who reported experiencing violent victimizations than that of non-aboriginal females?,2.703704
"what is first nations females' incidence rate of overall violent victimization per 1,000 population?",270.0
"what is metis females' rate of violent victimizations per 1,000 population?",177.0
what was the number of league appearances made by pablo campodonico for aldosivi totally?,286.0
which club did lee hughes play for in 2012-13?,port vale
how many tackles did peppers get in 2017?,32.0
how many games did forte play in 2015?,13.0
"when did the single ""epiphany"" release?",2018.0
how many matches did luisao play for benfica totally?,538.0
which club did chamberlain play for in 1994-95?,brighton & hove albion
list the matches that chester f.c. season competed in.,"<fa cup>, <league cup>, <welsh cup>"
how many postdocs did ffrdcs employ in 2013?,2613.0
"these ffrdcs employed 2,613 postdocs, how many percent of decrease from fall 2012?",0.064447
"along with league one, what cups did the chesterfield club participated in?","<fa cup>, <efl cup>, <efl trophy>"
when did paradise oskar release his debut album sunday songs?,2011.0
"from 1 july 1992 to 1 february 1994, which team did bernard dietz play for?",sc verl
what is the annual decrease in consumption frequency among both males and females?,0.05
what are the annual decreases among people in the neither overweight nor obese bmi category?,0.04
what are the annual decreases in the overweight and obese categories?,"<0.05>, <0.05>"
"excluding fruit juice, which group of people has a lower average frequency of fruit and vegetable consumption in both 2007 and 2014, male or female?",male
which region has the highest fequency of consumption in both 2007 and 2014?,quebec
"who were much more likely to discuss any such incident with someone they knew, female or male victims?",female victim
"who were more likely to contact or use formal services in 2014, female victims or male victims?",female victim
which club did robert lewandowski play for in 2009-10?,lech poznan
how many rushing yards did lamark brown get in 2008?,412.0
how many rushing yards did ponder get in 2011?,219.0
what was the result that anjelina lohalith got in the 1500m in the heat?,4:47.38
what was the result that laverne jones-ferrette got in the heat in 100m event?,11.41
which club did acosta play for in 2016?,guillermo brown
what was the percentage of individuals known or related to the offenders among victims of violent crimes committed by females in 2015?,88.3
what was the percentage of strangers to the victims among the accused females of violent crimes in 2015?,11.7
what was the percentage of acquaintances to the offenders among victims of violent crimes committed by females in 2015?,35.3
what was the percentage of other family members to the offenders among victims of violent crimes committed by females in 2015?,17.0
what was the percentage of intimate partners to the offenders among victims of violent crimes committed by females in 2015?,19.5
what was the percentage of current/former spouses to the offenders among victims of violent crimes committed by females in 2015?,16.5
what was the percentage of spouses or other intimate partners among victims of females accused of assault level 1 (common assault) in 2015?,39.6
what was the percentage of spouses or other intimate partners among victims of females accused of assault level 2 (assault with a weapon or assault causing bodily harm) in 2015?,48.7
what was the percentage of spouses or other intimate partners among victims of females accused of assault level 3 (assault with a weapon) in 2015?,51.1
what was the percentage of acquaintances to their victims among all females accused of sexual assault in 2015?,53.5
what was the percentage of acquaintances to their victims among all females accused of criminal harassment offences in 2015?,50.2
what was the percentage of acquaintances to their victims among all females accused of threatening or harassing phone calls in 2015?,46.9
what was the percentage of other assaults in the violent crimes perpetrated by females against strangers in 2015?,68.3
what was the percentage of the robbery in the violent crimes perpetrated by females against strangers in 2015?,65.0
what was the percentage of other violations causing death in the violent crimes perpetrated by females against strangers in 2015?,60.0
what was the percentage of extortion in the violent crimes perpetrated by females against strangers in 2015?,23.4
what was the total number of appearances made by bellamy for newcastle?,128.0
how many kick returns did devin hester get in 2006?,20.0
how many interceptions did o'sullivan get in 2007?,2.0
list the matches that birmingham played in.,"<midland regional league>, <football league war cup>"
which club did komazec play for in 2014?,haugesund
what was kobo ereader's price?,$199
which club did mauro play for in 2012-13?,sampdoria
when did the first animax anison grand prix hold?,2007.0
"according to data from the adult correctional services survey, what was the percentage of females accused being admitted to provincial / territorial custody in canada in 2014/2015?",13.0
"according to data from the adult correctional services survey, what was the percentage of females accused being admitted to federal custody in canada in 2014/2015?",7.0
how many jurisdictions exceeded the provincial / territorial average for adult female admissions to provincial / territorial custody in canada in 2014/2015?,0
what was the percentage of adult female admissions to provincial / territorial custody in manitoba in 2014/2015?,18.0
what was the percentage of adult female admissions to provincial / territorial custody in prince edward island in 2014/2015?,17.0
what was the percentage of adult female admissions to provincial / territorial custody in saskatchewan in 2014/2015?,15.0
what was the percentage of adult female admissions to provincial / territorial custody in yukon in 2014/2015?,14.0
how many units did evanescence s anywhere but home sell in the united states?,"world: 1,500,000 us: 687,000"
list the matches that maccabi tel aviv have competed in.,"<state cup>, <toto cup>, <uefa europa league>"
how many matches did anene play for valerenga in the tippeligaen?,4.0
how many receptions did doyle get in 2016?,59.0
how many sacks did long get in 2012?,11.5
"in 2014/2015, what was the percentage of women younger than 35 years of age in provincial custody?",60
"in 2014/2015, what was the percentage of women younger than 35 years of age in federal custody?",57
"among the overall women involved in provincial and federal correctional custodial services aged over 18 years old in 2014/2015, what was the percentage of those between the ages of 18 and 34?",0.593656
"in 2014/2015, what was the percentage of ""single, never married"" women in provincial custody?",67.0
"in 2014/2015, what was the percentage of ""single, never married"" women in federal custody?",56.0
what was leitao 's rank in the men's 5000 meters.,25.0
what was the population percentage of croats?,76.79
which club did khomich play for in 2014?,kairat
how many receiving yards did tavon austin get in 2015?,473.0
how many passing touchdowns did kirk cousins get in 2015?,29.0
how many million dollars did federal budget authority for research and development and r&d plant together total in fy 2014?,135665.0
"federal budget authority for research and development and r&d plant together totaled an estimated $135.7 million in fy 2014, what was an increase of million dollars over the fy 2013 level?",3188
"federal budget authority for research and development and r&d plant together totaled an estimated $135.7 billion in fy 2014, what was the percent of increase over the fy 2013 level?",2.4
how many million dollars did budget authority for r&d and r&d plant drop in fy 2011?,-4583
how many million dollars did budget authority for r&d and r&d plant drop down to a total?,144379.0
how many million dollars did budget authority for r&d and r&d plant drop in fy 2012?,-642
how many million dollars did budget authority for r&d and r&d plant drop down to a total?,143737.0
how many million dollars did budget authority for r&d and r&d plant drop in fy 2013?,-11260
how many million dollars did budget authority for r&d and r&d plant drop down to a total?,132477.0
how many million dollars did the preliminary fy 2014 level increase by?,3188
how many million dollars did the preliminary fy 2014 level increase up to?,135665.0
"in 2013,which club insuperettan did barr sign for?",ostersunds fk
how many appearances did veretout make for nantes over a period of five years?,146.0
how many aircraft movements did the o. r. tambo international airport have?,212918.0
when has bernard dietz been a coach of asc schoppingen?,"<1 july 1987>, <30 june 1992>"
"which group of people is more likely to report cosuming fruit and vegetables 5 or more times a day, male for female?",female
which age group of people has a higher odd of reporting at least 5 times a day consuming fruit and vegetables? adults aged 19 to 50? 51 or older? or 12 o 18 year olds?,12 to 18
which group of people has a higher odd of reporting 5 or more times a day when fruit juice was exclueded?,female
which groups of people had a lower odds of reporting at least 5 times a day when fruit juice was excluded? individuals who were overweight or obese or those who were neither overweight nor obese?,"<overweight>, <obese>"
how many goals did poole score for watford in 1976-77?,1.0
how many kick returns did marcus sherels get in 2012?,16.0
which club did paul farman play for in 2009-10?,gateshead
how many league goals did noel kinsey score for norwich city totally?,57.0
how many yards did raheem mostert average a return?,33.5
"in the 2002-03 season, which league did thomas buffel play for feyenoord in?",eredivisie
how many goals did wilkinson in york's score in all competitions?,143.0
which league did diego leon appear for barnsley in 2007-08 season?,championship
"among people with high blood pressure or currently taking medication to control their blood pressure, what was the percentage of having experienced tinnitus from 2012 to 2015 in canada?",41.7
"among people people without high blood pressure, what was the percentage of having experienced tinnitus from 2012 to 2015 in canada?",35.0
what was the percentage of individuals with arthritis having experienced tinnitus from 2012 to 2015 in canada?,42.9
what was the percentage of individuals without arthritis having experienced tinnitus from 2012 to 2015 in canada?,35.3
"which group had a higher prevalence of tinnitus from 2012 to 2015 in canada, people who reported one or more comorbid chronic conditions or those without any chronic conditions?",yes
what was the percentage of people who reported one or more comorbid chronic conditions having experienced tinnitus from 2012 to 2015 in canada?,40.8
what was the percentage of people without any chronic conditions having experienced tinnitus from 2012 to 2015 in canada?,34.1
"which group were more likely to report tinnitus from 2012 to 2015 in canada, people exposed to smoke-directly as a smoker or indirectly through second-hand smoke or non-smokers who were not exposed to second-hand smoke?",smoker
what was the percentage of people exposed to smoke directly as a smoker having experienced tinnitus from 2012 to 2015 in canada?,42.1
what was the percentage of people exposed to smoke indirectly through second-hand smoke having experienced tinnitus from 2012 to 2015 in canada?,43.2
what was the percentage of non-smokers who were not exposed to second-hand smoke having experienced tinnitus from 2012 to 2015 in canada?,34.0
which league did petar cirkovic make a debut for radnicki nis in the 2017-18 season?,superliga
what was a rating did max hall have in byu?,137.7
which new york islanders season was the 37th season in the franchise's history?,2008-09
"in the 1960s bentley played ten seasons, how many appearances did the southend united club rack up?",419.0
how many percent of weight loss of julie was week 14's biggest loser?,0.0476
"in the second half of the 2014-15 season, which league was gizem gonultas transferred to the besiktas j.k. side of?",third league
which league did falcao make his debut for lanceros boyaca in 1999?,categoria primera b
how many yards did gino guidugli rush for in his career?,208.0
how many carries did gino guidugli rush for in his career?,235.0
when did chhetri move to mumbai city?,indian super league
how many residents did the grncari have in total?,417.0
"in 2016/2017, how many police officers were hired by police services in canada?",2917.0
"in 2016/2017, which group was the majority of police officers hired by police services in canada, experienced police officers or recruit graduates?",recruit graduates
"in 2016/2017, what was the percentage of recruit graduates in the police officers hired by police services in canada?",86.0
"in 2016/2017, what was the percentage of experienced officers in the police officers hired by police services in canada?",14.0
which league did billy waters move to cheltenham town for in the 2015-16 season?,national league
which league did makani play for foolad in the pro league season?,2013-14
how many million total for federal budget authority in fy 2013?,132477
how many million total for r&d in fy 2013?,130861.0
how many million total for r&d plant in fy 2013?,1616.0
how many million total for r&d in fy 2014?,133103.0
how many million total for r&d plant in fy 2014?,2562.0
how many million total for r&d in fy 2015?,134005.0
how many million total for r&d plant in fy 2015?,2452.0
who had the most regular season and the most playoffs games coached?,dave tippett
"except for competing in the championship, what cups did rotherham united f.c. also participate in?","<fa cup>, <efl cup>"
which song is debuted in 2013 by hot hot heat?,mayor of the city
"for dairy goat farms with 1000 or more, which sector has more total area reported? area owned or area rented?",area rented
"for those with fewer than 1000 goats, which sector has more total area reported? area owned or area rented?",area owned
what did total operating expenditures for all police services across canada in 2016/2017 amount to in current dollars?,14669412
"of the total operating expenditures for canada in current dollars, how many was associated with stand-alone municipal police services in 2016/2017?",7735634.0
"of the total operating expenditures for canada in current dollars, what was the percentage of expenditures associated with stand-alone municipal police services in 2016/2017?",0.527331
"of the total operating expenditures for canada in current dollars, how many did the percentage of expenditures associated with stand-alone municipal police services increase from 2016?",2.6
"of the total operating expenditures for canada in current dollars, how many were provincial police services reported spending in 2016/2017?",2163711.0
"of the total operating expenditures for canada in current dollars, what was the percentage of provincial police services being reported spending in 2016/2017?",0.147498
"of the total operating expenditures for canada in current dollars, how many was the royal canadian mounted police reported in expenditures in 2016/2017?",4770067.0
"of the total operating expenditures for canada in current dollars, what was the reported percentage of expenditures spent by the royal canadian mounted police in 2016/2017?",0.325171
"of the total operating expenditures for canada in current dollars, how many did the percentage of expenditures spent by the royal canadian mounted police increase from 2016?",6.4
"accounting for inflation, how many percent did total expenditures on policing in canada rise in 2016?",1.8
when did total expenditures on policing in constant dollars in canada decrease?,"<2011/2012r>, <2013/2014>"
which league did remedi's career start in 2015 side banfield?,primera division
how many passing yards did cousins finish the season with a career-high passing yards?,4917.0
"which group had the lower probability of living to age 75, the first nations people or the non-indigenous people in 2011?",first nations people
"which group had the lower probability of living to age 75, the metis or the non-indigenous people in 2011?",metis
"which group had the lower probability of living to age 75, the inuit or the non-indigenous people in 2011?",inuit
"among the first nations household population, what was the percentage of the probability of living to age 75 for males in 2011?",53.2
"among the first nations household population, what was the percentage of the probability of living to age 75 for females in 2011?",65.9
how many percentage points was the probability of living to age 75 for males among the first nations household population lower than that among the non-indigenous household population in 2011?,22.5
how many percentage points was the probability of living to age 75 for females among the first nations household population lower than that among the non-indigenous household population in 2011?,17.9
"for metis, what was the percentage of the probability of living to age 75 for males in 2011?",64.0
"for metis, what was the percentage of the probability of living to age 75 for females in 2011?",73.8
how many percentage points was the probability of living to age 75 for metis males lower than that for the non-indigenous males in 2011?,11.7
how many percentage points was the probability of living to age 75 for metis females lower than that for the non-indigenous females in 2011?,10
"for inuit, what was the percentage of the probability of living to age 75 for males in 2011?",50.8
"for inuit, what was the percentage of the probability of living to age 75 for females in 2011?",63.1
"for inuit, how many percentage points was the probability of living to age 75 for males lower than that for the non-indigenous males in 2011?",24.9
"for inuit, how many percentage points was the probability of living to age 75 for females lower than that for the non-indigenous females in 2011?",20.7
how many league and cup appearances did neil aspin spend seven seasons in the second division with the leeds united?,244.0
which division did higgins play for chesterfield in the 1978-79 season?,third division
how many yards did jerick mckinnon have in total?,114.0
"in 2015/2016, what was the percentage of canadian households reporting that at least one person received formal home care services?",6.4
what was the precentage of canadian households where one person received home care services in 2015/2016?,5.9
what was the precentage of canadian households where two or more people received home care services in 2015/2016?,0.5
what was the precentage of canadian households where only one type of home care service was received in 2015/2016?,4.5
when did david carney join uzbek league club bunyodkor?,2012.0
how many yards did tim couch finish the 2002 season with?,2842.0
how many touchdowns did tim couch finish the 2002 season with?,18.0
how many goals did rogerio ceni score during his career?,131.0
what was the percentage of canadian households having home care service costs that were paid solely by government in 2015/2016?,52.2
"among canadian households receiving hhc services only, what did the proportion of those having home care service costs that were paid solely by government rise to in 2015/2016?",64.6
what was the percentage of canadian households paying solely out of pocket for home care services in 2015/2016?,27.0
what was the percentage of canadian households paying solely out of pocket for support services only in 2015/2016?,44.2
what was the percentage of canadian households paying solely out of pocket for hhc services only in 2015/2016?,12.5
what was the percentage of canadian households for which insurance covered home care service costs in 2015/2016?,7.3
what was the percentage of canadian households receiving home care services that were paid at least in part by government and/or insurance in 20115/2016?,8.0
what was the percentage of canadian households whose home care services were paid by other sources in 20115/2016?,5.5
how many passing yards did kolb finish the 2003 season with?,3131.0
how many touchdowns did kolb finish the 2003 season with?,25.0
how many passing interceptions did kolb finish the 2003 season with?,6.0
what is the average age of individuals?,64.1
what is the percentage of women in individuals?,52.0
what is the percentage of being married in individuals?,72.3
what is the percentage of individuals with labour earnings from employment?,34.7
what is the percentage of individuals with labour earnings from self-employment?,9.1
what is the percentage of individuals with investment income?,44.6
what is the percentage of individuals with oas income?,42.8
what is the percentage of individuals with private pension income?,38.9
"what is the mean value of taxable income, conditional on these values being strictly positive?",39550.0
"what is the median value of taxable income, conditional on these values being strictly positive?",28300.0
"using ctacs, what is the mean value of the predicted marginal income tax rate?",22.1
"using ctacs, what is the median value of the predicted marginal income tax rate?",23.6
which division did da campo debute in for rosario central in 2014?,primera division
"in 2015, which league did simao play for club northeast united fc simao?",indian super league
"during the 2013-14 season, which league did fabianski appear for arsenal?",premier league
how many goals did mauro icardi make for inter in total?,123.0
what is the singular form of the masculine?,mahan
"at the finals, what is the result for ferguson in the 2008 summer olympics's 100 m race?",11.19
what is the ratio for agricultural operations in ontario as a whole in 2016?,0.855
what was the number of the beyond the valley album peaked at in the uk?,40.0
what was the number of the beyond the valley album peaked at in the us?,102.0
what was the number of the beyond the valley album peaked at in the france?,144.0
how many sacks did cameron wake finish the season with?,11.5
nuclear power in canada is producing a total of 95.6 terawatt-hours (twh) of electricity.,95.6
how many votes did the libertarian party receive in 2017?,1492.0
which league did ben davies make his debut for swansea city in the 2012-13 season?,premier league
how many passing yards did warren moon have in 1991?,4690.0
"in 2015, which league was bikey in the northeast united?",indian super league
"in 2015, which league did thomas rodriguez debute for banfield?",argentine primera division
"in 2017, which league did torres join in side fc aktobe?",kazakhstan premier league
"in 2012, which album did ryan release single ""robots"" from?",electroshock
"in the 1952-53 season, which division did hunt play for club portsmouth?",first division
which division did jimmy hill participate in norwich city during 1959-60?,third division
how many league outings were for rotherham?,128.0
which league did gatt play the molde's match in 2013?,tippeligaen
"in 2002, how many yards did collins set the passing record with?",4073.0
"within business services, how many percent was s&e workforce intensity in computer systems design?",52.5
"within business services, how many percent was s&e workforce intensity in scientific r&d?",44.1
"within business services, how many percent was s&e workforce intensity in architectural and engineering?",33.3
how many percent of information services which has the next highest s&e intensity?,16.6
how many percent of software publishers which have the highest s&e intensities within this industry sector?,45.9
"how many percent of data processing, hosting, and related services which have the highest s&e intensities within this industry sector?",38.0
"in 1990, which album is released by the beloved and has the single ""hello"" ?",happiness
what is the result for david freeman finishing the 1500 m?,3:39.70
what was the prevalence of disability in quebec?,9.6
what was the prevalence of disability in nova scotia?,18.8
which province has the highest prevalence of disabilities in canada?,nova scotia
what was the prevalence of disability in yukon?,14.4
what was the prevalence of disability in northwest territories?,8.2
what was the prevalence of disability in nunavut?,6.9
what was the prevalence of disability among 15- to 24-year-olds?,4.4
what was the prevalence of disability for persons aged 75 years or older?,42.5
"which group had a higher prevalence of disability, persons aged 75 years or older or persons among 15- to 24-year-olds?",75 years or older
what percentage of people of working age (15 to 64 years) reported having a disability?,10.1
what percentage of people reported having a disability among the senior population (65 years or older)?,33.2
how many canadians report a disability?,3775910.0
what is the percentage of both sexes classified as having a mild disability?,31.7
what is the percentage of both sexes classified as having a moderate disability?,19.8
what is the percentage of both sexes classified as having a severe disability?,22.5
what is the percentage of both sexes classified as having a very severe disability?,26.0
"in the 2007 season, how many rushing yards did jonathan stewart finish with?",1722.0
"in the 2007 season, how many rushing touchdowns did jonathan stewart finish with?",11.0
"in the 2007 season, how many receptions did jonathan stewart finish with?",22.0
"in the 2007 season, how many receiving yards did jonathan stewart finish with?",145.0
"in the 2007 season, how many receving touchdowns did jonathan stewart finish with?",2.0
"in 2018, which league did zarate join side fk liepaja?",higher league
what is the percentage of individuals who report pain-related disabilities also reporting flexibility disabilities?,64.9
what is the percentage of individuals who report pain-related disabilities also reporting mobility disabilities?,61.3
how many percent did otton solis finish with of the votes?,25.2
which single did trina make her debut in 2000 with?,da baddest bitch
what is the percentage of 15- to 24-year-old people with disabilities reporting that they were employed?,32.2
what is the percentage of people at ages 25 to 44 years with disabilities reporting that they were employed?,55.4
what is the percentage of people at ages 45 to 64 years with disabilities reporting that they were employed?,46.0
what is the percentage not in the labour force at ages 25 to 44 years?,34.6
what is the percentage not in the labour force at ages 45 to 64 years?,49.7
"in the 2015-16 season, which league did pablo chavarria play for lens in?",ligue 2
how many yards did marshawn lynch for the seahawks in the 2013 season rush for?,1257.0
how many touchdowns did marshawn lynch for the seahawks in the 2013 season rush for?,12.0
how many sacks did cole make in the 2007 season?,12.5
what is the percentage of those with moderate disabilities stating that they are employed?,65.0
what is the percentage of those with severe disabilities stating that they are employed?,41.2
what is the percentage of those with very severe disabilities stating that they are employed?,25.9
what is the percentage of persons with mild disabilities reporting that they are not in the labour force?,28.5
what is the percentage of persons with very severe disabilities reporting that they are not in the labour force?,67.7
"which league did stuart chapman appear in ""macclesfield town"" from 1984 to 85?",northern premier league
"in 2017-18, which league did cristian ansaldi join in the torino?",serie a
what is the percentage of people who report income from wages and salaries at ages 15 to 64 years?,45.1
what is the percentage of people who report income from receiving cpp benefits excluding disability at ages 15 to 64 years?,40.7
what is the percentage of people who report income from provincial/territorial/municipal social assistance at ages 15 to 64 years?,14.6
what is the percentage of people who report income from wages and salaries at ages 65 years or older?,5.7
what is the percentage of people who report income from receiving cpp benefits excluding disability at ages 65 years or older?,84.0
what is the percentage of people who report income from provincial/territorial/municipal social assistance at ages 65 years or older?,2.3
"in 2016 and 2017, which league did leke james play for beijing enterprises?",china league one
"in the 2018 regular season, how many rushing yards did alfred morris have?",111.0
what is the percentage of persons who report having received help with heavy household chores overall?,49.1
what is the percentage of persons with mild disabilities who report having received help with heavy household chores?,33.9
what is the percentage of persons with very severe disabilities who report having received help with heavy household chores?,66.7
"in 2011, which league did stewart downing make his debut in liverpool's first match in 2011-12?",premier league
how many iraqis were killed in april 2012?,126.0
how many iraqis were killed in may 2012?,132.0
which league did amoes join bengaluru fc for the 2013-14?,i-league
"in 2016, how many receiving yards did juju smith-schuster played 13 games with?",914.0
"in 2016, how many touchdowns did juju smith-schuster played 13 games with?",10.0
how many seh doctoral degree holders in the labor force in 2013?,735900.0
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013,how many percent had earned a doctorate in the biological, agricultural, or environmental life sciences?",0.255062
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent had doctorates in engineering?",0.185215
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in physical sciences?",0.170675
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in psychology?",0.144857
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in social sciences?",0.122571
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in health?",0.046474
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in mathematics and statistics?",0.044843
"of the approximately 735,900 seh doctoral degree holders in the labor force in 2013, how many percent in computer and information sciences?",0.030167
who won the men's aerials freestyle skiing olympic silver medal?,jia zongyang
what is the final result of matt mcgrath?,54.74 or
when did nutter play on the conference south club grays athletic?,2004-05
what percentage of operator reporting 1000 goats or more said they used environmental controls?,57.1
"according to the 2010 census, how many inhabitants did changji have a population of?",1428587
"janmaat started his career in 2007-08, which league did he join with ado den haag in?",eerste divisie
how many yards did fletcher rush with in his career?,1871.0
how many receptions did fletcher rush with in his career?,259.0
how many appearances did hodge make in brentford?,125.0
how many goals did hodge score in brentford?,1.0
how many liquor stores are in canada?,2895.0
how many kilometres are the population-weighted average distance between canadians and the nearest liquor store?,5.0
how many open cannabis retail outlets will be in the fourth quarter in canada?,288.0
when did lefevre make his debut for montreal impact (nasl)?,2011.0
what is the percentage of canadians all across the country live within 10 kilometres or less distance from a liquor store?,90.0
what is the percentage of canadians all across the country live within five kilometres or less distance from a liquor store?,82.0
what is the percentage of nunavut residents living within 10 kilometres of a liquor store?,22.0
which are the top four provinces where liquor stores are most accessible within 10 kilometres?,"<ontario>, <british columbia>, <alberta>, <quebec>"
what is the percentage of having access to a liquor store within 10 kilometres in newfoundland and labrador?,62.0
"how many appearances did neil wilkinson make in his career for blackburn rovers, port vale and crewe alexandra?",112.0
how many passing yards did stafford finish the 2013 season with?,4650.0
how many touchdowns did stafford finish the 2013 season with?,29.0
how many interceptions did stafford finish the 2013 season with?,19.0
what is the percentage of the population is expected to have access to cannabis outlets within 10 kilometres or less of their residence for the country as a whole?,34.7
what is the percentage of the population is expected to have access to cannabis outlets within five kilometres or less of their residence for the country as a whole?,24.9
what is the percentage of the population is expected to have access to cannabis outlets within 10 kilometres or less of their residence for british columbia?,72.8
which place has the highest percentage of the population who is expected to have access to cannabis outlets within ten kilometres or less of their residence?,british columbia
what is the percentage of the population is expected to have 10-kilometre access to cannabis stores in quebec?,40.4
what is the percentage of the population is expected to have 10-kilometre access to cannabis stores in ontario?,0.0
what is the percentage of the population is expected to have 10-kilometre access to cannabis stores in northwest territories?,0.0
what is the percentage of the population is expected to have 10-kilometre access to cannabis stores in nunavut?,0.0
how many cup appearances did darren hughes make for six clubs?,388.0
"in 1999, how many passing yards did johnson achieve?",4005.0
"in 1999, how many touchdowns did johnson achieve?",24.0
"in 1999, how many interceptions did johnson achieve?",13.0
"in 1999, what was a passer rating did johnson achieve?",90.0
what is the prevalence of immigrants reporting good health according to the chms?,89.6
what is the prevalence of immigrants reporting good health according to the cchs?,88.5
what is the prevalence of good health among immigrants aged 50 to 79 based on the chms?,84.8
what is the prevalence of good health among immigrants aged 50 to 79 based on the cchs?,80.8
